team,team member,strain,method of making competent cells,DNA quantity (ng),dilution,DNA added in volume (µl),transformants per plate,transformants/µg DNA,"comments, errors, mistakes",Recommendation for your colleagues (include/exclude)
example,0,DH5a,P25,10,0.9,5,lawn,,Used 200µl of cells instead of 50µl,exclude
example,0,TOP10F',FB,10,0.1,5,432,4.32E+05,left on ice for 30min before adding DNA,include
1,1,DH5a,FB,100,0.9,1.5,352,3.91E+03,1/4 of plate counted (scaled up to whole plate),
1,1,DH5a,FB,100,0.1,1.5,82,8.20E+03,,
1,1,DH5a,FB,100,0.9,1.5,560,6.22E+03,1/4 of plate counted (scaled up to whole plate),
1,1,DH5a,FB,100,0.1,1.5,118,1.18E+04,1/4 of plate counted (scaled up to whole plate),
1,1,DH5a,FB,10,0.9,1.5,43,4.78E+03,,
1,1,DH5a,FB,10,0.1,1.5,9,9.00E+03,,
1,1,DH5a,FB,10,0.9,1.5,8,8.88E+02,,
1,1,DH5a,FB,10,0.1,1.5,1,1.00E+03,Spreader was not cooled after flaming in Bunsen, exclude
1,1,DH5a,FB,0,0.9,1.5,0,0.00E+00,,
1,1,DH5a,FB,0,0.1,1.5,0,0.00E+00,,
1,2,DH5a,FB,100,0.9,1.5,332,3.69E+03,,
1,2,DH5a,FB,100,0.1,1.5,14,1.40E+03,,
1,2,DH5a,FB,100,0.9,1.5,484,5.38E+03,3.21E+04,
1,2,DH5a,FB,100,0.1,1.5,20,2.00E+03,,
1,2,DH5a,FB,10,0.9,1.5,21,2.33E+03,,
1,2,DH5a,FB,10,0.1,1.5,9,9.00E+03,,
1,2,DH5a,FB,10,0.9,1.5,29,3.22E+03,,
1,2,DH5a,FB,10,0.1,1.5,9,9.00E+03,,
1,2,DH5a,FB,0,0.9,1.5,0,0.00E+00,,
1,2,DH5a,FB,0,0.1,1.5,0,0.00E+00,,
1,3,DH5a,FB,100,0.9,1.5,297,3.30E+03,,
1,3,DH5a,FB,100,0.1,1.5,12,1.20E+03,,
1,3,DH5a,FB,100,0.9,1.5,321,3.57E+03,,
1,3,DH5a,FB,100,0.1,1.5,16,1.60E+03,,
1,3,DH5a,FB,10,0.9,1.5,32,3.55E+03,,
1,3,DH5a,FB,10,0.1,1.5,1,1.00E+03,,
1,3,DH5a,FB,10,0.9,1.5,27,3.00E+03,,
